	Fecha	Hora	Alimento	Calorias (kcal)	Carbohidratos (g)	Lipidos (g)	Proteinas (g)	Sodio (mg)	Evidencia			
i			Mole	571	212	83	56	1642				
i			Pollo	328	4	9	60	20				
i			Cafe	6	1	0	0.42	2.28				
i			Nueces	295	195	0	1	1				
i			Chocolate	83	0	7	0	1				
i			Atun	109	1	0	16	247				
i			Tostadas	186	74.04	4.29	8.6	278.32				
			Tortilla	170.58	34.22	1.98	3.97	14.58				
			Queso	300	1	24	20	842				
			Nopales	16	3	0	1	20				
			Huevo	211	0.34	4.8	6.4	0.36				
			Jamon	106	3	6	10	20				
			Jitomate	20	4	0	1	7				
			Jugo verde	80	16	1	1	45				
			Piña	50	13	0	1	1				
			Yogurt	54.8	9.7	0	4	66.4				
			Jicama	38	9	0	1	4				
			Cacahuates	284	2.3	15.1	7.9	5				
			Pepino	32	16	0	1	3				
			Pollo	328	4	9	60	20				
			Lechuga	15	3	0	1	28				
			Nueces	295	195	0	1	1				
			Rice cakes	66	30.2	0.1	3	1.2				
			Crema de cacahuate	294	15	50	22	470				
			Proteina	120	0	0	30	145				
			Leche	130	10	7	6	130				
			Fresas	28	7	0	0	0				
			Atun	109	1	0	16	247				
			Claras	52	0.3	0	3.5	166				
			Huevo	211	0.34	4.8	6.4	0.36				
			Jamon	106	3	6	10	20				
			Aguacate	160	8.53	14.66	2	7				
			Espinaca	128	7	4	13	20				
			Nueces	295	195	0	1	1				
			Almendras	58	2	5	2	0				
			Mole	571	212	83	56	1642				
			Arroz	180	43	0	3	0				
			Cafe	6	1	0	0.42	2.28				
			Tortilla de harina	94	15.4	2.32	2.49	191				
			Queso	300	1	24	20	842				
			Calabacin	17	3	0	12	8				
			Jamon	106	3	6	10	20				
			Pollo	328	4	9	60	20				
			Tostadas	186	74.04	4.29	8.6	278.32				
			Salsa	41	9.19	0.34	1.63	1063				
			Jugo verde	80	16	1	1	45				
			Cafe	6	1	0	0.42	2.28				
			Rice cakes	66	30.2	0.1	3	1.2				
			Crema de cacahuate	294	15	50	22	470				
			Manzana	104	28	0	1	2				
			Jicama	38	9	0	1	4				
			Pepino	32	16	0	1	3				
			Queso	300	1	24	20	842				
			Pescado	84	0	0.92	17.76	81				
			Arroz	180	43	0	3	0				
			Lechuga	15	3	0	1	28				
			Nueces	295	195	0	1	1				
			Arandanos	113	24	1	1	107				
			Aceite	820	0	91	0	0				
			Manzana	104	28	0	1	2				
			Avena	90	16	2	3	1				
			Fresas	28	7	0	0	0				
			Yogurt	54.8	9.7	0	4	66.4				
			Atun	109	1	0	16	247				
			Tostadas	186	74.04	4.29	8.6	278.32				
				#N/A	#N/A	#N/A	#N/A	#N/A				
				#N/A	#N/A	#N/A	#N/A	#N/A				
				#N/A	#N/A	#N/A	#N/A	#N/A				
